planning_area,subzone,population,total_0_4,total_5_9,total_10_14,total_15_19,total_20_24,total_25_29,total_30_34,total_35_39,total_40_44,total_45_49,total_50_54,total_55_59,total_60_64,total_65_69,total_70_74,total_75_79,total_80_84,total_85_89,total_90_over,pop_density_pct,pop_elderly,pct_elderly
ANG MO KIO,ANG MO KIO TOWN CENTRE,4810.0,170.0,240.0,280.0,320.0,270.0,280.0,290.0,330.0,400.0,470.0,370.0,320.0,300.0,250.0,230.0,140.0,100.0,40.0,20.0,0.1194,1080.0,22.45
ANG MO KIO,CHENG SAN,28070.0,1060.0,1040.0,1040.0,1160.0,1330.0,1710.0,2000.0,2150.0,2070.0,2200.0,2050.0,2120.0,2120.0,2170.0,1730.0,960.0,640.0,350.0,180.0,0.6966,8150.0,29.03
ANG MO KIO,CHONG BOON,26500.0,860.0,840.0,1010.0,1060.0,1310.0,1610.0,1890.0,1730.0,1800.0,1820.0,1900.0,2090.0,2140.0,2100.0,1800.0,1130.0,780.0,430.0,200.0,0.6576,8580.0,32.38
ANG MO KIO,KEBUN BAHRU,22620.0,660.0,810.0,950.0,1010.0,1170.0,1420.0,1410.0,1450.0,1620.0,1790.0,1710.0,1800.0,1750.0,1690.0,1430.0,840.0,620.0,340.0,160.0,0.5613,6830.0,30.19
ANG MO KIO,SEMBAWANG HILLS,6850.0,210.0,310.0,400.0,460.0,500.0,500.0,350.0,310.0,370.0,550.0,540.0,550.0,480.0,410.0,370.0,230.0,150.0,100.0,60.0,0.17,1800.0,26.28
ANG MO KIO,SHANGRI-LA,15960.0,550.0,560.0,640.0,710.0,860.0,980.0,1020.0,990.0,1010.0,1210.0,1200.0,1390.0,1270.0,1180.0,960.0,620.0,430.0,250.0,130.0,0.3961,4840.0,30.33
ANG MO KIO,TAGORE,7950.0,210.0,310.0,400.0,450.0,580.0,670.0,490.0,340.0,440.0,580.0,580.0,670.0,730.0,550.0,380.0,210.0,190.0,120.0,60.0,0.1973,2240.0,28.18
ANG MO KIO,TOWNSVILLE,21140.0,660.0,860.0,930.0,820.0,890.0,1310.0,1400.0,1410.0,1650.0,1560.0,1360.0,1580.0,1660.0,1530.0,1420.0,880.0,680.0,360.0,190.0,0.5246,6720.0,31.79
ANG MO KIO,YIO CHU KANG,20.0,,,,,,,,,,,,,,,,,,,,0.0005,0.0,0.0
ANG MO KIO,YIO CHU KANG EAST,4200.0,160.0,170.0,200.0,260.0,310.0,320.0,230.0,240.0,260.0,320.0,290.0,330.0,380.0,260.0,200.0,110.0,80.0,40.0,30.0,0.1042,1100.0,26.19
ANG MO KIO,YIO CHU KANG WEST,24150.0,750.0,950.0,1190.0,1350.0,1460.0,1540.0,1400.0,1480.0,1720.0,1910.0,1850.0,1950.0,1910.0,1820.0,1400.0,640.0,480.0,250.0,110.0,0.5993,6610.0,27.37
BEDOK,BAYSHORE,7450.0,340.0,490.0,480.0,450.0,360.0,310.0,360.0,550.0,770.0,860.0,650.0,510.0,400.0,350.0,280.0,130.0,90.0,40.0,50.0,0.1849,1340.0,17.99
BEDOK,BEDOK NORTH,81840.0,2710.0,3080.0,3440.0,4000.0,4760.0,5620.0,5280.0,5100.0,5670.0,5960.0,6030.0,6950.0,6560.0,5980.0,4920.0,2550.0,1740.0,970.0,540.0,2.031,23260.0,28.42
BEDOK,BEDOK RESERVOIR,25470.0,1100.0,1270.0,1400.0,1510.0,1490.0,1600.0,1830.0,1900.0,2090.0,2110.0,1920.0,1840.0,1800.0,1550.0,1050.0,470.0,310.0,160.0,80.0,0.6321,5420.0,21.28
BEDOK,BEDOK SOUTH,46690.0,1430.0,1730.0,2120.0,2300.0,2740.0,3130.0,2920.0,2700.0,3050.0,3490.0,3430.0,3730.0,3740.0,3360.0,2820.0,1650.0,1230.0,720.0,410.0,1.1587,13930.0,29.84
BEDOK,FRANKEL,34490.0,1460.0,2060.0,2060.0,1810.0,1820.0,2050.0,2000.0,2360.0,2950.0,3180.0,2510.0,2280.0,2110.0,1880.0,1610.0,840.0,750.0,470.0,290.0,0.8559,7950.0,23.05
BEDOK,KAKI BUKIT,37150.0,1200.0,1250.0,1580.0,1930.0,2510.0,3140.0,2830.0,2280.0,2260.0,2460.0,2450.0,3240.0,3510.0,2740.0,1930.0,820.0,580.0,260.0,190.0,0.9219,10030.0,27.0
BEDOK,KEMBANGAN,37460.0,1410.0,1360.0,1480.0,1780.0,2020.0,2620.0,2790.0,2520.0,2290.0,2520.0,2620.0,2940.0,3240.0,2750.0,2140.0,1250.0,860.0,530.0,350.0,0.9296,11120.0,29.68
BEDOK,SIGLAP,6440.0,160.0,250.0,260.0,310.0,360.0,400.0,360.0,320.0,430.0,520.0,450.0,460.0,500.0,430.0,480.0,310.0,250.0,140.0,70.0,0.1598,2180.0,33.85
BISHAN,BISHAN EAST,28310.0,870.0,1130.0,1300.0,1380.0,1470.0,2280.0,2150.0,1730.0,1890.0,2160.0,1880.0,2110.0,2420.0,2090.0,1560.0,820.0,590.0,320.0,150.0,0.7025,7950.0,28.08
