station,station_id,year,month,day,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
Upper Peirce Reservoir Park,S69,2013,1,1,1.2,,,,,
Upper Peirce Reservoir Park,S69,2013,1,2,53.2,,,,,
Upper Peirce Reservoir Park,S69,2013,1,3,0.4,,,,,
Upper Peirce Reservoir Park,S69,2013,1,4,7.8,,,,,
Upper Peirce Reservoir Park,S69,2013,1,5,0.2,,,,,
Upper Peirce Reservoir Park,S69,2013,1,6,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,1,7,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,1,8,7.8,,,,,
Upper Peirce Reservoir Park,S69,2013,1,9,4.8,,,,,
Upper Peirce Reservoir Park,S69,2013,1,10,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,1,11,7.2,,,,,
Upper Peirce Reservoir Park,S69,2013,1,12,1.4,,,,,
Upper Peirce Reservoir Park,S69,2013,1,13,1.2,,,,,
Upper Peirce Reservoir Park,S69,2013,1,14,5.6,,,,,
Upper Peirce Reservoir Park,S69,2013,1,15,13.8,,,,,
Upper Peirce Reservoir Park,S69,2013,1,16,1.0,,,,,
Upper Peirce Reservoir Park,S69,2013,1,17,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,1,18,53.8,,,,,
Upper Peirce Reservoir Park,S69,2013,1,19,29.8,,,,,
Upper Peirce Reservoir Park,S69,2013,1,20,5.0,,,,,
Upper Peirce Reservoir Park,S69,2013,1,21,0.8,,,,,
Upper Peirce Reservoir Park,S69,2013,1,22,1.4,,,,,
Upper Peirce Reservoir Park,S69,2013,1,23,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,1,24,1.8,,,,,
Upper Peirce Reservoir Park,S69,2013,1,25,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,1,26,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,1,27,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,1,28,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,1,29,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,1,30,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,1,31,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,2,1,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,2,2,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,2,3,16.8,,,,,
Upper Peirce Reservoir Park,S69,2013,2,4,1.0,,,,,
Upper Peirce Reservoir Park,S69,2013,2,5,30.6,,,,,
Upper Peirce Reservoir Park,S69,2013,2,6,29.0,,,,,
Upper Peirce Reservoir Park,S69,2013,2,7,10.0,,,,,
Upper Peirce Reservoir Park,S69,2013,2,8,38.4,,,,,
Upper Peirce Reservoir Park,S69,2013,2,9,72.6,,,,,
Upper Peirce Reservoir Park,S69,2013,2,10,58.8,,,,,
Upper Peirce Reservoir Park,S69,2013,2,11,1.0,,,,,
Upper Peirce Reservoir Park,S69,2013,2,12,13.2,,,,,
Upper Peirce Reservoir Park,S69,2013,2,13,11.8,,,,,
Upper Peirce Reservoir Park,S69,2013,2,14,40.2,,,,,
Upper Peirce Reservoir Park,S69,2013,2,15,9.6,,,,,
Upper Peirce Reservoir Park,S69,2013,2,16,17.2,,,,,
Upper Peirce Reservoir Park,S69,2013,2,17,2.2,,,,,
Upper Peirce Reservoir Park,S69,2013,2,18,19.4,,,,,
Upper Peirce Reservoir Park,S69,2013,2,19,1.8,,,,,
Upper Peirce Reservoir Park,S69,2013,2,20,2.8,,,,,
Upper Peirce Reservoir Park,S69,2013,2,21,3.2,,,,,
Upper Peirce Reservoir Park,S69,2013,2,22,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,2,23,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,2,24,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,2,25,21.6,,,,,
Upper Peirce Reservoir Park,S69,2013,2,26,140.0,,,,,
Upper Peirce Reservoir Park,S69,2013,2,27,5.8,,,,,
Upper Peirce Reservoir Park,S69,2013,2,28,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,3,1,2.2,,,,,
Upper Peirce Reservoir Park,S69,2013,3,2,30.0,,,,,
Upper Peirce Reservoir Park,S69,2013,3,3,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,3,4,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,3,5,0.4,,,,,
Upper Peirce Reservoir Park,S69,2013,3,6,0.4,,,,,
Upper Peirce Reservoir Park,S69,2013,3,7,0.4,,,,,
Upper Peirce Reservoir Park,S69,2013,3,8,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,3,9,4.8,,,,,
Upper Peirce Reservoir Park,S69,2013,3,10,16.0,,,,,
Upper Peirce Reservoir Park,S69,2013,3,11,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,3,12,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,3,13,15.0,,,,,
Upper Peirce Reservoir Park,S69,2013,3,14,5.0,,,,,
Upper Peirce Reservoir Park,S69,2013,3,15,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,3,16,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,3,17,3.2,,,,,
Upper Peirce Reservoir Park,S69,2013,3,18,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,3,19,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,3,20,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,3,21,0.0,,,,,
Upper Peirce Reservoir Park,S69,2013,3,22,48.8,,,,,
Upper Peirce Reservoir Park,S69,2013,3,23,8.8,,,,,
Upper Peirce Reservoir Park,S69,2013,3,24,10.4,,,,,
Upper Peirce Reservoir Park,S69,2013,3,25,5.4,,,,,
