date,station,station_id,rainfall_mm,temp_mean_c,humidity_pct,source
2013-01-01,,,,,,nea_v2_api
2013-01-02,,,,,,nea_v2_api
2013-01-03,,,,,,nea_v2_api
2013-01-04,,,,,,nea_v2_api
2013-01-05,,,,,,nea_v2_api
2013-01-06,,,,,,nea_v2_api
2013-01-07,,,,,,nea_v2_api
2013-01-08,,,,,,nea_v2_api
2013-01-09,,,,,,nea_v2_api
2013-01-10,,,,,,nea_v2_api
2013-01-11,,,,,,nea_v2_api
2013-01-12,,,,,,nea_v2_api
2013-01-13,,,,,,nea_v2_api
2013-01-14,,,,,,nea_v2_api
2013-01-15,,,,,,nea_v2_api
2013-01-16,,,,,,nea_v2_api
2013-01-17,,,,,,nea_v2_api
2013-01-18,,,,,,nea_v2_api
2013-01-19,,,,,,nea_v2_api
2013-01-20,,,,,,nea_v2_api
2013-01-21,,,,,,nea_v2_api
2013-01-22,,,,,,nea_v2_api
2013-01-23,,,,,,nea_v2_api
2013-01-24,,,,,,nea_v2_api
2013-01-25,,,,,,nea_v2_api
2013-01-26,,,,,,nea_v2_api
2013-01-27,,,,,,nea_v2_api
2013-01-28,,,,,,nea_v2_api
2013-01-29,,,,,,nea_v2_api
2013-01-30,,,,,,nea_v2_api
2013-01-31,,,,,,nea_v2_api
2013-02-01,,,,,,nea_v2_api
2013-02-02,,,,,,nea_v2_api
2013-02-03,,,,,,nea_v2_api
2013-02-04,,,,,,nea_v2_api
2013-02-05,,,,,,nea_v2_api
2013-02-06,,,,,,nea_v2_api
2013-02-07,,,,,,nea_v2_api
2013-02-08,,,,,,nea_v2_api
2013-02-09,,,,,,nea_v2_api
2013-02-10,,,,,,nea_v2_api
2013-02-11,,,,,,nea_v2_api
2013-02-12,,,,,,nea_v2_api
2013-02-13,,,,,,nea_v2_api
2013-02-14,,,,,,nea_v2_api
2013-02-15,,,,,,nea_v2_api
2013-02-16,,,,,,nea_v2_api
2013-02-17,,,,,,nea_v2_api
2013-02-18,,,,,,nea_v2_api
2013-02-19,,,,,,nea_v2_api
2013-02-20,,,,,,nea_v2_api
2013-02-21,,,,,,nea_v2_api
2013-02-22,,,,,,nea_v2_api
2013-02-23,,,,,,nea_v2_api
2013-02-24,,,,,,nea_v2_api
2013-02-25,,,,,,nea_v2_api
2013-02-26,,,,,,nea_v2_api
2013-02-27,,,,,,nea_v2_api
2013-02-28,,,,,,nea_v2_api
2013-03-01,,,,,,nea_v2_api
2013-03-02,,,,,,nea_v2_api
2013-03-03,,,,,,nea_v2_api
2013-03-04,,,,,,nea_v2_api
2013-03-05,,,,,,nea_v2_api
2013-03-06,,,,,,nea_v2_api
2013-03-07,,,,,,nea_v2_api
