date,year,month,day,station_id,station,station_name,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
2013-01-01,2013,1,1,S06,S06,Paya Lebar Meteorological Station,0.7,,32.9,24.0,11.6,38.9
2013-01-02,2013,1,2,S06,S06,Paya Lebar Meteorological Station,32.6,,32.1,24.2,8.8,35.3
2013-01-03,2013,1,3,S06,S06,Paya Lebar Meteorological Station,6.3,,32.9,25.2,9.6,33.5
2013-01-04,2013,1,4,S06,S06,Paya Lebar Meteorological Station,0.0,,32.5,25.5,15.0,33.5
2013-01-05,2013,1,5,S06,S06,Paya Lebar Meteorological Station,0.0,,32.3,25.4,14.2,37.1
2013-01-06,2013,1,6,S06,S06,Paya Lebar Meteorological Station,0.0,,34.3,25.6,11.8,27.7
2013-01-07,2013,1,7,S06,S06,Paya Lebar Meteorological Station,0.0,,35.3,26.6,13.6,40.7
2013-01-08,2013,1,8,S06,S06,Paya Lebar Meteorological Station,12.3,,34.3,23.2,13.2,61.2
2013-01-09,2013,1,9,S06,S06,Paya Lebar Meteorological Station,5.5,,33.0,24.5,11.1,44.3
2013-01-10,2013,1,10,S06,S06,Paya Lebar Meteorological Station,0.0,,31.6,25.6,13.3,31.3
2013-01-11,2013,1,11,S06,S06,Paya Lebar Meteorological Station,0.1,,32.2,25.4,17.8,35.3
2013-01-12,2013,1,12,S06,S06,Paya Lebar Meteorological Station,2.0,,32.5,25.2,13.6,35.3
2013-01-13,2013,1,13,S06,S06,Paya Lebar Meteorological Station,24.0,,31.2,24.5,8.8,42.5
2013-01-14,2013,1,14,S06,S06,Paya Lebar Meteorological Station,0.5,,31.9,25.4,16.5,37.1
2013-01-15,2013,1,15,S06,S06,Paya Lebar Meteorological Station,0.5,,31.7,25.5,16.1,38.9
2013-01-16,2013,1,16,S06,S06,Paya Lebar Meteorological Station,0.2,,31.8,25.2,18.4,37.1
2013-01-17,2013,1,17,S06,S06,Paya Lebar Meteorological Station,0.0,,31.9,25.4,23.4,44.3
2013-01-18,2013,1,18,S06,S06,Paya Lebar Meteorological Station,64.5,,33.4,23.0,19.5,48.2
2013-01-19,2013,1,19,S06,S06,Paya Lebar Meteorological Station,49.8,,24.6,23.1,10.8,35.3
2013-01-20,2013,1,20,S06,S06,Paya Lebar Meteorological Station,5.8,,26.2,23.7,9.1,29.5
2013-01-21,2013,1,21,S06,S06,Paya Lebar Meteorological Station,1.5,,32.0,24.2,15.8,33.5
2013-01-22,2013,1,22,S06,S06,Paya Lebar Meteorological Station,0.9,,29.0,24.1,16.3,33.5
2013-01-23,2013,1,23,S06,S06,Paya Lebar Meteorological Station,0.0,,32.0,25.2,17.7,38.9
2013-01-24,2013,1,24,S06,S06,Paya Lebar Meteorological Station,2.8,,31.6,25.0,14.0,40.7
2013-01-25,2013,1,25,S06,S06,Paya Lebar Meteorological Station,0.0,,32.0,25.2,18.5,38.9
2013-01-26,2013,1,26,S06,S06,Paya Lebar Meteorological Station,0.0,,32.0,25.0,17.9,35.3
2013-01-27,2013,1,27,S06,S06,Paya Lebar Meteorological Station,0.0,,32.0,25.0,18.2,37.1
2013-01-28,2013,1,28,S06,S06,Paya Lebar Meteorological Station,0.0,,31.6,25.5,18.5,37.1
2013-01-29,2013,1,29,S06,S06,Paya Lebar Meteorological Station,0.0,,31.9,24.8,19.1,42.5
2013-01-30,2013,1,30,S06,S06,Paya Lebar Meteorological Station,0.0,,32.1,25.0,18.6,38.9
