planning_area,population
ANG MO KIO,162280.0
BEDOK,276990.0
BISHAN,87320.0
BOON LAY,40.0
BUKIT BATOK,158030.0
BUKIT MERAH,151250.0
BUKIT PANJANG,138270.0
BUKIT TIMAH,77860.0
CHANGI,1850.0
CHOA CHU KANG,192070.0
CLEMENTI,91990.0
DOWNTOWN CORE,3190.0
GEYLANG,110110.0
HOUGANG,227560.0
JURONG EAST,78600.0
JURONG WEST,262730.0
KALLANG,101290.0
LIM CHU KANG,110.0
MANDAI,2090.0
MARINE PARADE,46220.0
MUSEUM,510.0
NEWTON,8260.0
NORTH-EASTERN ISLANDS,50.0
NOVENA,49330.0
ORCHARD,920.0
OUTRAM,18340.0
PASIR RIS,147110.0
PAYA LEBAR,40.0
PIONEER,80.0
PUNGGOL,174450.0
QUEENSTOWN,95930.0
RIVER VALLEY,10070.0
ROCHOR,13120.0
SELETAR,300.0
SEMBAWANG,102640.0
SENGKANG,249370.0
SERANGOON,116900.0
SINGAPORE RIVER,3260.0
SOUTHERN ISLANDS,1940.0
SUNGEI KADUT,750.0
TAMPINES,259900.0
TANGLIN,21810.0
TENGAH,10.0
TOA PAYOH,121850.0
TUAS,70.0
WESTERN ISLANDS,10.0
WESTERN WATER CATCHMENT,640.0
WOODLANDS,255130.0
YISHUN,221610.0
