subzone_code,subzone_name,planning_area,region,geometry_type
BMSZ12,DEPOT ROAD,BUKIT MERAH,CENTRAL REGION,Polygon
BMSZ02,BUKIT MERAH,BUKIT MERAH,CENTRAL REGION,Polygon
OTSZ03,CHINATOWN,OUTRAM,CENTRAL REGION,Polygon
DTSZ04,PHILLIP,DOWNTOWN CORE,CENTRAL REGION,Polygon
DTSZ05,RAFFLES PLACE,DOWNTOWN CORE,CENTRAL REGION,Polygon
OTSZ04,CHINA SQUARE,OUTRAM,CENTRAL REGION,Polygon
BMSZ10,TIONG BAHRU,BUKIT MERAH,CENTRAL REGION,Polygon
DTSZ12,BAYFRONT SUBZONE,DOWNTOWN CORE,CENTRAL REGION,Polygon
BMSZ04,TIONG BAHRU STATION,BUKIT MERAH,CENTRAL REGION,Polygon
DTSZ06,CLIFFORD PIER,DOWNTOWN CORE,CENTRAL REGION,Polygon
MSSZ01,MARINA SOUTH,MARINA SOUTH,CENTRAL REGION,Polygon
DTSZ13,NICOLL,DOWNTOWN CORE,CENTRAL REGION,Polygon
MESZ01,MARINA EAST,MARINA EAST,CENTRAL REGION,Polygon
RVSZ05,INSTITUTION HILL,RIVER VALLEY,CENTRAL REGION,Polygon
SRSZ01,ROBERTSON QUAY,SINGAPORE RIVER,CENTRAL REGION,Polygon
WISZ01,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,WEST REGION,MultiPolygon
MUSZ02,FORT CANNING,MUSEUM,CENTRAL REGION,Polygon
OTSZ01,PEARL'S HILL,OUTRAM,CENTRAL REGION,Polygon
SRSZ03,BOAT QUAY,SINGAPORE RIVER,CENTRAL REGION,Polygon
BMSZ08,HENDERSON HILL,BUKIT MERAH,CENTRAL REGION,Polygon
BMSZ03,REDHILL,BUKIT MERAH,CENTRAL REGION,Polygon
BMSZ07,ALEXANDRA HILL,BUKIT MERAH,CENTRAL REGION,Polygon
BMSZ09,BUKIT HO SWEE,BUKIT MERAH,CENTRAL REGION,Polygon
SRSZ02,CLARKE QUAY,SINGAPORE RIVER,CENTRAL REGION,Polygon
QTSZ13,PASIR PANJANG 1,QUEENSTOWN,CENTRAL REGION,Polygon
QTSZ07,QUEENSWAY,QUEENSTOWN,CENTRAL REGION,Polygon
MPSZ05,MARINA EAST (MP),MARINE PARADE,CENTRAL REGION,Polygon
WISZ03,SUDONG,WESTERN ISLANDS,WEST REGION,MultiPolygon
WISZ02,SEMAKAU,WESTERN ISLANDS,WEST REGION,MultiPolygon
SISZ02,SOUTHERN GROUP,SOUTHERN ISLANDS,CENTRAL REGION,MultiPolygon
SISZ01,SENTOSA,SOUTHERN ISLANDS,CENTRAL REGION,MultiPolygon
BMSZ17,CITY TERMINALS,BUKIT MERAH,CENTRAL REGION,Polygon
DTSZ10,ANSON,DOWNTOWN CORE,CENTRAL REGION,Polygon
SVSZ01,STRAITS VIEW,STRAITS VIEW,CENTRAL REGION,Polygon
BMSZ01,MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION,Polygon
BMSZ15,TELOK BLANGAH RISE,BUKIT MERAH,CENTRAL REGION,Polygon
DTSZ09,TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,Polygon
BMSZ16,EVERTON PARK,BUKIT MERAH,CENTRAL REGION,Polygon
BMSZ14,TELOK BLANGAH WAY,BUKIT MERAH,CENTRAL REGION,Polygon
DTSZ07,MAXWELL,DOWNTOWN CORE,CENTRAL REGION,Polygon
DTSZ08,CECIL,DOWNTOWN CORE,CENTRAL REGION,Polygon
BMSZ11,KAMPONG TIONG BAHRU,BUKIT MERAH,CENTRAL REGION,Polygon
BMSZ13,TELOK BLANGAH DRIVE,BUKIT MERAH,CENTRAL REGION,Polygon
QTSZ14,PASIR PANJANG 2,QUEENSTOWN,CENTRAL REGION,Polygon
DTSZ11,CENTRAL SUBZONE,DOWNTOWN CORE,CENTRAL REGION,Polygon
BMSZ05,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,CENTRAL REGION,Polygon
DTSZ01,BUGIS,DOWNTOWN CORE,CENTRAL REGION,Polygon
RCSZ10,VICTORIA,ROCHOR,CENTRAL REGION,Polygon
RVSZ02,PATERSON,RIVER VALLEY,CENTRAL REGION,Polygon
MPSZ04,EAST COAST,MARINE PARADE,CENTRAL REGION,Polygon
QTSZ11,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,CENTRAL REGION,Polygon
RVSZ01,ONE TREE HILL,RIVER VALLEY,CENTRAL REGION,Polygon
QTSZ03,COMMONWEALTH,QUEENSTOWN,CENTRAL REGION,Polygon
QTSZ10,DOVER,QUEENSTOWN,CENTRAL REGION,Polygon
TNSZ03,RIDOUT,TANGLIN,CENTRAL REGION,Polygon
NTSZ04,CAIRNHILL,NEWTON,CENTRAL REGION,Polygon
CLSZ08,CLEMENTI WEST,CLEMENTI,WEST REGION,Polygon
NTSZ05,MONK'S HILL,NEWTON,CENTRAL REGION,Polygon
BDSZ07,SIGLAP,BEDOK,EAST REGION,Polygon
CLSZ07,CLEMENTI WOODS,CLEMENTI,WEST REGION,Polygon
PNSZ05,PIONEER SECTOR,PIONEER,WEST REGION,Polygon
JESZ11,PENJURU CRESCENT,JURONG EAST,WEST REGION,Polygon
NTSZ01,ORANGE GROVE,NEWTON,CENTRAL REGION,Polygon
KLSZ04,KAMPONG BUGIS,KALLANG,CENTRAL REGION,Polygon
QTSZ12,KENT RIDGE,QUEENSTOWN,CENTRAL REGION,Polygon
BMSZ06,ALEXANDRA NORTH,BUKIT MERAH,CENTRAL REGION,Polygon
QTSZ04,TANGLIN HALT,QUEENSTOWN,CENTRAL REGION,Polygon
RCSZ06,MACKENZIE,ROCHOR,CENTRAL REGION,Polygon
RCSZ03,SUNGEI ROAD,ROCHOR,CENTRAL REGION,Polygon
QTSZ08,ONE NORTH,QUEENSTOWN,CENTRAL REGION,Polygon
KLSZ05,TANJONG RHU,KALLANG,CENTRAL REGION,Polygon
MPSZ02,KATONG,MARINE PARADE,CENTRAL REGION,Polygon
ORSZ02,BOULEVARD,ORCHARD,CENTRAL REGION,Polygon
NTSZ06,ISTANA NEGARA,NEWTON,CENTRAL REGION,Polygon
RCSZ02,LITTLE INDIA,ROCHOR,CENTRAL REGION,Polygon
PNSZ04,GUL BASIN,PIONEER,WEST REGION,Polygon
DTSZ03,MARINA CENTRE,DOWNTOWN CORE,CENTRAL REGION,Polygon
MUSZ03,BRAS BASAH,MUSEUM,CENTRAL REGION,Polygon
ORSZ03,SOMERSET,ORCHARD,CENTRAL REGION,Polygon
RCSZ09,BENCOOLEN,ROCHOR,CENTRAL REGION,Polygon
TNSZ02,CHATSWORTH,TANGLIN,CENTRAL REGION,Polygon
RCSZ05,KAMPONG GLAM,ROCHOR,CENTRAL REGION,Polygon
RCSZ08,SELEGIE,ROCHOR,CENTRAL REGION,Polygon
RCSZ07,MOUNT EMILY,ROCHOR,CENTRAL REGION,Polygon
RCSZ04,ROCHOR CANAL,ROCHOR,CENTRAL REGION,Polygon
QTSZ05,MARGARET DRIVE,QUEENSTOWN,CENTRAL REGION,Polygon
RVSZ04,OXLEY,RIVER VALLEY,CENTRAL REGION,Polygon
DTSZ02,CITY HALL,DOWNTOWN CORE,CENTRAL REGION,Polygon
QTSZ06,MEI CHIN,QUEENSTOWN,CENTRAL REGION,Polygon
RVSZ03,LEONIE HILL,RIVER VALLEY,CENTRAL REGION,Polygon
QTSZ15,PORT,QUEENSTOWN,CENTRAL REGION,Polygon
MUSZ01,DHOBY GHAUT,MUSEUM,CENTRAL REGION,Polygon
GLSZ02,MACPHERSON,GEYLANG,CENTRAL REGION,Polygon
TPSZ07,KIM KEAT,TOA PAYOH,CENTRAL REGION,Polygon
BDSZ04,BEDOK NORTH,BEDOK,EAST REGION,Polygon
TPSZ02,TOA PAYOH CENTRAL,TOA PAYOH,CENTRAL REGION,Polygon
JESZ06,JURONG GATEWAY,JURONG EAST,WEST REGION,Polygon
BTSZ03,HOLLAND ROAD,BUKIT TIMAH,CENTRAL REGION,Polygon
GLSZ03,KAMPONG UBI,GEYLANG,CENTRAL REGION,Polygon
TPSZ11,SENNETT,TOA PAYOH,CENTRAL REGION,Polygon
TPSZ09,POTONG PASIR,TOA PAYOH,CENTRAL REGION,Polygon
TSSZ03,TUAS NORTH,TUAS,WEST REGION,Polygon
TPSZ06,PEI CHUN,TOA PAYOH,CENTRAL REGION,Polygon
TPSZ04,BOON TECK,TOA PAYOH,CENTRAL REGION,Polygon
JWSZ06,KIAN TECK,JURONG WEST,WEST REGION,Polygon
JWSZ07,SAFTI,JURONG WEST,WEST REGION,Polygon
