planning_area,subzone,total,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_over
,Total,4044210,183080,198740,206390,215230,244540,287000,297800,299520,299290,311740,296070,305830,284630,229400,170010,90990,66510,36590,20880
Ang Mo Kio,Ang Mo Kio Town Centre,4810,170,240,280,320,270,280,290,330,400,470,370,320,300,250,230,140,100,40,20
Ang Mo Kio,Cheng San,28070,1060,1040,1040,1160,1330,1710,2000,2150,2070,2200,2050,2120,2120,2170,1730,960,640,350,180
Ang Mo Kio,Chong Boon,26500,860,840,1010,1060,1310,1610,1890,1730,1800,1820,1900,2090,2140,2100,1800,1130,780,430,200
Ang Mo Kio,Kebun Bahru,22620,660,810,950,1010,1170,1420,1410,1450,1620,1790,1710,1800,1750,1690,1430,840,620,340,160
Ang Mo Kio,Sembawang Hills,6850,210,310,400,460,500,500,350,310,370,550,540,550,480,410,370,230,150,100,60
Ang Mo Kio,Shangri-La,15960,550,560,640,710,860,980,1020,990,1010,1210,1200,1390,1270,1180,960,620,430,250,130
Ang Mo Kio,Tagore,7950,210,310,400,450,580,670,490,340,440,580,580,670,730,550,380,210,190,120,60
Ang Mo Kio,Townsville,21140,660,860,930,820,890,1310,1400,1410,1650,1560,1360,1580,1660,1530,1420,880,680,360,190
Ang Mo Kio,Yio Chu Kang,20,,,,,,,,,,,,,,,,,,,
Ang Mo Kio,Yio Chu Kang East,4200,160,170,200,260,310,320,230,240,260,320,290,330,380,260,200,110,80,40,30
Ang Mo Kio,Yio Chu Kang North,,,,,,,,,,,,,,,,,,,,
Ang Mo Kio,Yio Chu Kang West,24150,750,950,1190,1350,1460,1540,1400,1480,1720,1910,1850,1950,1910,1820,1400,640,480,250,110
Bedok,Bayshore,7450,340,490,480,450,360,310,360,550,770,860,650,510,400,350,280,130,90,40,50
Bedok,Bedok North,81840,2710,3080,3440,4000,4760,5620,5280,5100,5670,5960,6030,6950,6560,5980,4920,2550,1740,970,540
Bedok,Bedok Reservoir,25470,1100,1270,1400,1510,1490,1600,1830,1900,2090,2110,1920,1840,1800,1550,1050,470,310,160,80
Bedok,Bedok South,46690,1430,1730,2120,2300,2740,3130,2920,2700,3050,3490,3430,3730,3740,3360,2820,1650,1230,720,410
Bedok,Frankel,34490,1460,2060,2060,1810,1820,2050,2000,2360,2950,3180,2510,2280,2110,1880,1610,840,750,470,290
Bedok,Kaki Bukit,37150,1200,1250,1580,1930,2510,3140,2830,2280,2260,2460,2450,3240,3510,2740,1930,820,580,260,190
Bedok,Kembangan,37460,1410,1360,1480,1780,2020,2620,2790,2520,2290,2520,2620,2940,3240,2750,2140,1250,860,530,350
Bedok,Siglap,6440,160,250,260,310,360,400,360,320,430,520,450,460,500,430,480,310,250,140,70
Bishan,Bishan East,28310,870,1130,1300,1380,1470,2280,2150,1730,1890,2160,1880,2110,2420,2090,1560,820,590,320,150
Bishan,Marymount,29620,1010,1340,1540,1680,2030,2630,1840,1770,1950,2240,2190,2530,2360,1790,1250,650,450,220,150
Bishan,Upper Thomson,29390,910,1260,1450,1560,1740,2010,1740,1590,1910,2330,2230,2310,2350,1960,1580,970,720,510,260
Boon Lay,Liu Fang,10,,,,,,,,,,,,,,,,,,,
Boon Lay,Samulun,10,,,,,,,,,,,,,,,,,,,
Boon Lay,Shipyard,,,,,,,,,,,,,,,,,,,,
Boon Lay,Tukang,10,,,,,,,,,,,,,,,,,,,
Bukit Batok,Brickworks,19820,2710,1200,850,730,660,2280,3540,1670,1460,1280,990,790,640,430,270,140,90,70,20
Bukit Batok,Bukit Batok Central,27290,1310,1230,1340,1490,1560,1900,2460,1950,1860,1940,1960,2020,2100,1750,1150,570,400,200,120
Bukit Batok,Bukit Batok East,12690,340,340,540,600,810,960,880,810,800,970,930,1160,1220,1060,640,280,200,110,60
Bukit Batok,Bukit Batok South,14930,690,710,760,840,1110,1190,1240,1130,930,1010,1180,1310,1160,830,440,170,140,70,30
Bukit Batok,Bukit Batok West,15000,660,640,710,790,950,990,1180,1100,1010,1050,1100,1180,1220,1070,640,310,200,130,80
Bukit Batok,Gombak,9930,350,490,590,590,620,700,610,720,840,800,750,710,630,550,400,240,170,120,50
Bukit Batok,Guilin,12940,430,570,650,750,830,870,850,940,940,1100,1110,1100,920,750,470,270,200,120,70
Bukit Batok,Hillview,19300,560,720,1040,1350,1600,1490,1060,1010,1200,1640,1840,1860,1400,1080,680,360,220,130,70
Bukit Batok,Hong Kah North,26150,870,930,1210,1440,1680,2110,1800,1650,1630,1900,2040,2370,2460,1810,1100,540,340,180,90
Bukit Merah,Alexandra Hill,13490,370,420,570,630,790,870,840,720,750,950,960,1070,1140,1070,950,540,410,280,170
Bukit Merah,Alexandra North,2620,160,200,160,110,100,130,240,320,330,300,180,130,100,70,40,30,20,10,
Bukit Merah,Bukit Ho Swee,14390,460,570,560,500,620,820,930,980,960,1010,970,1120,1270,1110,930,630,490,270,190
Bukit Merah,Bukit Merah,1110,30,50,60,60,70,60,60,60,70,80,90,90,70,80,90,50,30,10,10
Bukit Merah,City Terminals,20,,,,,,,,,,,,,,,,,,,
Bukit Merah,Depot Road,6540,350,400,380,280,280,310,470,570,670,620,440,370,340,330,320,190,120,60,40
Bukit Merah,Everton Park,7810,220,290,310,310,330,470,510,540,590,680,570,520,580,620,500,310,250,130,80
Bukit Merah,Henderson Hill,13320,440,450,490,530,660,860,930,780,780,890,1010,1050,1140,970,890,550,500,280,150
Bukit Merah,Kampong Tiong Bahru,9010,220,240,340,350,430,530,490,490,540,650,690,720,780,790,700,420,360,170,100
Bukit Merah,Maritime Square,3620,200,240,190,170,110,140,180,360,430,400,310,240,190,140,120,70,70,50,40
Bukit Merah,Redhill,10620,490,640,660,500,470,630,650,750,1080,900,790,730,620,510,440,270,230,120,140
Bukit Merah,Singapore General Hospital,10,,,,,,,,,,,,,,,,,,,
Bukit Merah,Telok Blangah Drive,19320,1190,870,740,710,710,1090,2010,1680,1550,1390,1180,1230,1200,1150,1110,660,480,260,120
Bukit Merah,Telok Blangah Rise,12150,350,390,430,510,580,740,660,680,840,920,850,860,1030,1120,970,580,360,180,100
Bukit Merah,Telok Blangah Way,9230,240,340,380,350,380,480,460,540,690,770,680,740,820,710,620,420,310,180,110
Bukit Merah,Tiong Bahru,12890,690,670,560,430,440,720,1080,1120,1250,1020,800,730,790,810,690,440,340,170,150
Bukit Merah,Tiong Bahru Station,15120,560,690,830,700,670,1050,1010,1060,1230,1250,1110,1070,1050,750,780,480,440,230,140
Bukit Panjang,Bangkit,22270,680,730,930,1190,1520,1900,1560,1230,1340,1540,1730,2190,2020,1440,970,580,390,230,120
Bukit Panjang,Dairy Farm,6940,310,390,440,510,450,470,460,440,560,640,560,550,430,310,210,90,70,30,20
Bukit Panjang,Fajar,27820,1530,1680,1580,1590,1720,2140,2350,2240,1970,1980,1850,2140,1820,1380,870,470,310,150,70
Bukit Panjang,Jelebu,31310,930,1090,1410,1840,2440,2750,2190,1740,1840,2380,2600,2890,2660,1930,1230,620,460,220,110
Bukit Panjang,Nature Reserve,3850,150,190,240,250,280,260,200,220,260,370,350,340,270,190,150,60,60,20,20
Bukit Panjang,Saujana,25920,1520,1660,1460,1510,1740,1820,2130,2300,1840,1870,1710,1880,1840,1230,720,290,200,120,80
Bukit Panjang,Senja,20170,1130,1360,1260,1260,1150,1190,1570,1930,1570,1730,1320,1260,1240,890,640,290,190,120,70
Bukit Timah,Anak Bukit,21870,700,1080,1190,1310,1430,1660,1310,1260,1370,1640,1600,1580,1730,1400,1080,650,470,270,150
Bukit Timah,Coronation Road,6690,300,500,490,440,380,330,330,440,540,610,480,400,360,330,280,220,150,80,50
Bukit Timah,Farrer Court,6180,300,490,440,370,280,290,350,470,530,630,490,380,290,240,260,140,110,70,40
Bukit Timah,Hillcrest,9470,440,780,610,600,560,420,410,650,760,850,740,640,560,390,400,260,210,130,70
Bukit Timah,Holland Road,10840,460,780,800,770,670,510,500,650,900,1080,920,700,560,500,410,260,200,100,70
Bukit Timah,Leedon Park,6440,300,320,400,370,360,360,350,400,500,570,580,440,390,350,360,180,110,60,50
Bukit Timah,Swiss Club,5340,240,320,340,330,300,330,280,360,400,430,420,350,320,300,210,150,120,80,60
Bukit Timah,Ulu Pandan,11020,400,630,680,650,640,660,570,580,800,930,820,830,740,710,660,310,230,130,60
Central Water Catchment,Central Water Catchment,,,,,,,,,,,,,,,,,,,,
Changi- Total,Changi Airport,10,,,,,,,,,,,,,,,,,,,
Changi- Total,Changi Point,540,10,10,20,20,40,30,20,20,30,50,60,60,60,50,30,20,10,,10
Changi- Total,Changi West,1300,120,130,130,80,60,70,120,130,140,120,80,40,40,20,20,10,,10,
Changi Bay,Changi Bay,,,,,,,,,,,,,,,,,,,,
Choa Chu Kang,Choa Chu Kang Central,22530,820,1090,1330,1430,1790,1950,1360,1470,1650,1810,1970,1990,1490,1000,650,340,220,110,70
Choa Chu Kang,Choa Chu Kang North,31930,850,1120,1640,2400,3510,3060,1660,1570,1640,2280,3400,3230,2270,1410,850,430,330,220,80
Choa Chu Kang,Keat Hong,38180,3540,2660,2060,2060,2310,3260,4690,3480,2650,2430,2430,2280,1730,1120,700,330,240,150,60
Choa Chu Kang,Peng Siang,34720,1660,1750,1760,2040,2570,2980,2750,2650,2300,2430,2670,2880,2360,1730,1130,450,310,200,110
Choa Chu Kang,Teck Whye,24320,760,760,1010,1350,1910,2310,1600,1370,1260,1640,1910,2440,2070,1570,1040,620,400,200,110
Choa Chu Kang,Yew Tee,40390,1360,1890,2400,2810,3370,3060,2390,2660,3140,3560,3700,3330,2840,1760,1010,510,350,160,100
Clementi,Clementi Central,14000,480,610,700,660,710,880,830,910,1050,1170,970,990,990,1000,910,510,340,190,110
Clementi,Clementi North,28810,1390,1220,1160,1130,1290,1540,2190,2350,2210,2160,1880,1980,1840,2040,1970,1030,820,390,230
Clementi,Clementi West,15260,480,630,740,760,840,810,820,1010,1230,1270,1210,1150,1210,1170,960,470,310,140,70
Clementi,Clementi Woods,16000,680,740,800,810,830,870,1060,1250,1190,1200,1110,1180,1060,1060,1000,530,380,170,90
Clementi,Faber,5360,270,430,440,320,280,290,370,470,540,500,360,290,220,220,160,110,60,40,20
Clementi,Pandan,20,,,,,,,,,,,,,,,,,,,
Clementi,Sunset Way,5650,170,230,270,310,320,360,330,320,370,400,440,420,430,470,380,200,150,70,30
Clementi,Toh Tuck,20,,,,,,,,,,,,,,,,,,,
Clementi,West Coast,6870,290,480,550,470,390,370,320,480,660,720,550,400,340,310,290,130,90,40,20
Downtown Core,Anson,80,,,,,,,,,,,,,,,,,,,
Downtown Core,Bayfront Subzone,,,,,,,,,,,,,,,,,,,,
Downtown Core,Bugis,890,20,30,10,30,40,60,60,90,70,70,70,60,60,70,70,30,30,10,20
Downtown Core,Cecil,260,10,10,10,,10,20,40,60,30,20,20,10,10,10,,,,,
Downtown Core,Central Subzone,880,40,40,30,40,20,70,90,110,110,130,70,60,40,30,20,10,,,
Downtown Core,City Hall,80,,,,,,,,,,,,,,,,,,,
Downtown Core,Clifford Pier,,,,,,,,,,,,,,,,,,,,
Downtown Core,Marina Centre,10,,,,,,,,,,,,,,,,,,,
Downtown Core,Maxwell,,,,,,,,,,,,,,,,,,,,
Downtown Core,Nicoll,290,10,10,10,10,10,30,20,20,30,20,30,30,30,10,20,,,,
Downtown Core,Phillip,10,,,,,,,,,,,,,,,,,,,
Downtown Core,Raffles Place,40,,,,,,,,,,,,,,,,,,,
Downtown Core,Tanjong Pagar,670,20,20,10,10,20,50,100,100,80,70,40,50,30,20,20,10,10,,30
Geylang,Aljunied,39990,1250,1500,1730,1670,1920,2840,3000,2960,2980,3260,2860,3070,3120,2620,2080,1170,980,580,390
Geylang,Geylang East,29920,1100,1310,1440,1340,1560,2050,2000,2160,2350,2320,2050,2110,2230,1960,1750,900,680,410,210
Geylang,Kallang Way,30,,,,,,,,,,,,,,,,,,,
