Station_ID,Station_Name
S24,Changi Meteorological Station
S43,Kim Chuan Road
S44,Nanyang Avenue
S50,Clementi Road
S60,Artillery Avenue (Sentosa)
S102,Semakau Island
S104,Woodlands Avenue 9
S106,Jalan Noordin (Pulau Ubin)
S107,East Coast Park
S108,Marina Barrage
S109,Ang Mo Kio Avenue 5
S111,Scotts Road
S115,Tuas South Avenue 3
S116,Pasir Panjang Terminal
S117,Banyan Road (Jurong Island)
S121,Old Choa Chu Kang Road
S06,Paya Lebar Meteorological Station
S23,Tengah Meteorological Station
S25,Seletar Meteorological Station
S80,Sembawang Meteorological Station
S07,Macritchie Reservoir
S08,Lower Peirce Reservoir
S33,Jurong Pier Road
S35,Old Toh Tuck Road
S40,Mandai Lake Road
S64,Bukit Panjang Road
S66,Kranji Reservoir
S69,Upper Peirce Reservoir
S71,Kent Ridge Road
S77,Alexandra Road
S78,Poole Road
S79,Somerset Road
S81,Punggol Central
S84,Tampines Avenue 5
S88,Toa Payoh North
S90,Bukit Timah Road
S92,South Buona Vista Road
S94,Pasir Ris Street 51
S112,Lim Chu Kang Road
S113,Marine Parade Road
S114,Choa Chu Kang Avenue 4
S119,Nicoll Highway
S120,Botanic Garden
S123,Towner Road
S100,Sungei Kadut Street 3
S201,Sunset Way
S203,Pasir Panjang Road
S207,Koh Sek Lim Road
S208,Changi East Close
S209,Yishun Ring Road
S210,Woodlands Centre Road
S211,Kranji Road
S213,Coronation Walk
S214,Tanjong Rhu
S215,Geylang East Central
S216,Ang Mo Kio Avenue 10
S217,Bishan Street 13
S218,Bukit Batok Street 34
S219,Yio Chu Kang Road
S220,Compassvale Lane
S221,Hougang Avenue 1
S222,Henderson Road
S223,Margaret Drive
S224,Airport Boulevard
S226,Malan Road
S227,Woodlands Drive 62
S228,Jurong West Street 73
S229,Jurong West Street 42
S230,West Coast Road
S300,Bedok Reservoir
S301,Neo Tiew Lane 2
S302,Tengeh Reservoir
S303,Poyan Reservoir
S305,Sarimbun Reservoir
S306,Murnane Service Reservoir
S307,Pulau Tekong Reservoir
S308,Seletar Reservoir
S310,Lorong Danau
S127,Kallang Practice Track
S129,Bedok Stadium
S130,Clementi Stadium
S132,Jurong West Stadium
S902,Yishun Walk
S11,Jalan Bahar
S29,Pasir Ris Road
S31,Kampong Bahru Road
S36,Upper Serangoon Road
S39,Jalan Ahmad Ibrahim
S46,Sime Road
S55,Buangkok Green
S61,Chai Chee Street
S63,International Road
S72,Prince Edward Road
S82,Tuas West Road
S89,Tuas Road
S91,Yishun Avenue 5
S101,Corporation Road
S105,Admiralty Road West
S110,Serangoon North Avenue 1
S118,Handy Road
S86,Chia Ping Road
S122,Sembawang Road
