planning_area,subzone,total,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_over,elderly_pop,elderly_pct
,TOTAL,4044210,183080,198740,206390,215230,244540,287000,297800,299520,299290,311740,296070,305830,284630,229400,170010,90990,66510,36590,20880,614380,0.1519
ANG MO KIO,ANG MO KIO TOWN CENTRE,4810,170,240,280,320,270,280,290,330,400,470,370,320,300,250,230,140,100,40,20,780,0.1622
ANG MO KIO,CHENG SAN,28070,1060,1040,1040,1160,1330,1710,2000,2150,2070,2200,2050,2120,2120,2170,1730,960,640,350,180,6030,0.2148
ANG MO KIO,CHONG BOON,26500,860,840,1010,1060,1310,1610,1890,1730,1800,1820,1900,2090,2140,2100,1800,1130,780,430,200,6440,0.243
ANG MO KIO,KEBUN BAHRU,22620,660,810,950,1010,1170,1420,1410,1450,1620,1790,1710,1800,1750,1690,1430,840,620,340,160,5080,0.2246
ANG MO KIO,SEMBAWANG HILLS,6850,210,310,400,460,500,500,350,310,370,550,540,550,480,410,370,230,150,100,60,1320,0.1927
ANG MO KIO,SHANGRI-LA,15960,550,560,640,710,860,980,1020,990,1010,1210,1200,1390,1270,1180,960,620,430,250,130,3570,0.2237
ANG MO KIO,TAGORE,7950,210,310,400,450,580,670,490,340,440,580,580,670,730,550,380,210,190,120,60,1510,0.1899
ANG MO KIO,TOWNSVILLE,21140,660,860,930,820,890,1310,1400,1410,1650,1560,1360,1580,1660,1530,1420,880,680,360,190,5060,0.2394
ANG MO KIO,YIO CHU KANG,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ANG MO KIO,YIO CHU KANG EAST,4200,160,170,200,260,310,320,230,240,260,320,290,330,380,260,200,110,80,40,30,720,0.1714
ANG MO KIO,YIO CHU KANG WEST,24150,750,950,1190,1350,1460,1540,1400,1480,1720,1910,1850,1950,1910,1820,1400,640,480,250,110,4700,0.1946
BEDOK,BAYSHORE,7450,340,490,480,450,360,310,360,550,770,860,650,510,400,350,280,130,90,40,50,940,0.1262
BEDOK,BEDOK NORTH,81840,2710,3080,3440,4000,4760,5620,5280,5100,5670,5960,6030,6950,6560,5980,4920,2550,1740,970,540,16700,0.2041
BEDOK,BEDOK RESERVOIR,25470,1100,1270,1400,1510,1490,1600,1830,1900,2090,2110,1920,1840,1800,1550,1050,470,310,160,80,3620,0.1421
BEDOK,BEDOK SOUTH,46690,1430,1730,2120,2300,2740,3130,2920,2700,3050,3490,3430,3730,3740,3360,2820,1650,1230,720,410,10190,0.2182
BEDOK,FRANKEL,34490,1460,2060,2060,1810,1820,2050,2000,2360,2950,3180,2510,2280,2110,1880,1610,840,750,470,290,5840,0.1693
BEDOK,KAKI BUKIT,37150,1200,1250,1580,1930,2510,3140,2830,2280,2260,2460,2450,3240,3510,2740,1930,820,580,260,190,6520,0.1755
BEDOK,KEMBANGAN,37460,1410,1360,1480,1780,2020,2620,2790,2520,2290,2520,2620,2940,3240,2750,2140,1250,860,530,350,7880,0.2104
BEDOK,SIGLAP,6440,160,250,260,310,360,400,360,320,430,520,450,460,500,430,480,310,250,140,70,1680,0.2609
BISHAN,BISHAN EAST,28310,870,1130,1300,1380,1470,2280,2150,1730,1890,2160,1880,2110,2420,2090,1560,820,590,320,150,5530,0.1953
BISHAN,MARYMOUNT,29620,1010,1340,1540,1680,2030,2630,1840,1770,1950,2240,2190,2530,2360,1790,1250,650,450,220,150,4510,0.1523
BISHAN,UPPER THOMSON,29390,910,1260,1450,1560,1740,2010,1740,1590,1910,2330,2230,2310,2350,1960,1580,970,720,510,260,6000,0.2042
BOON LAY,LIU FANG,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BOON LAY,SAMULUN,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BOON LAY,TUKANG,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BUKIT BATOK,BRICKWORKS,19820,2710,1200,850,730,660,2280,3540,1670,1460,1280,990,790,640,430,270,140,90,70,20,1020,0.0515
BUKIT BATOK,BUKIT BATOK CENTRAL,27290,1310,1230,1340,1490,1560,1900,2460,1950,1860,1940,1960,2020,2100,1750,1150,570,400,200,120,4190,0.1535
BUKIT BATOK,BUKIT BATOK EAST,12690,340,340,540,600,810,960,880,810,800,970,930,1160,1220,1060,640,280,200,110,60,2350,0.1852
BUKIT BATOK,BUKIT BATOK SOUTH,14930,690,710,760,840,1110,1190,1240,1130,930,1010,1180,1310,1160,830,440,170,140,70,30,1680,0.1125
BUKIT BATOK,BUKIT BATOK WEST,15000,660,640,710,790,950,990,1180,1100,1010,1050,1100,1180,1220,1070,640,310,200,130,80,2430,0.162
BUKIT BATOK,GOMBAK,9930,350,490,590,590,620,700,610,720,840,800,750,710,630,550,400,240,170,120,50,1530,0.1541
BUKIT BATOK,GUILIN,12940,430,570,650,750,830,870,850,940,940,1100,1110,1100,920,750,470,270,200,120,70,1880,0.1453
BUKIT BATOK,HILLVIEW,19300,560,720,1040,1350,1600,1490,1060,1010,1200,1640,1840,1860,1400,1080,680,360,220,130,70,2540,0.1316
BUKIT BATOK,HONG KAH NORTH,26150,870,930,1210,1440,1680,2110,1800,1650,1630,1900,2040,2370,2460,1810,1100,540,340,180,90,4060,0.1553
BUKIT MERAH,ALEXANDRA HILL,13490,370,420,570,630,790,870,840,720,750,950,960,1070,1140,1070,950,540,410,280,170,3420,0.2535
BUKIT MERAH,ALEXANDRA NORTH,2620,160,200,160,110,100,130,240,320,330,300,180,130,100,70,40,30,20,10,0,170,0.0649
BUKIT MERAH,BUKIT HO SWEE,14390,460,570,560,500,620,820,930,980,960,1010,970,1120,1270,1110,930,630,490,270,190,3620,0.2516
BUKIT MERAH,BUKIT MERAH,1110,30,50,60,60,70,60,60,60,70,80,90,90,70,80,90,50,30,10,10,270,0.2432
BUKIT MERAH,CITY TERMINALS,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BUKIT MERAH,DEPOT ROAD,6540,350,400,380,280,280,310,470,570,670,620,440,370,340,330,320,190,120,60,40,1060,0.1621
BUKIT MERAH,EVERTON PARK,7810,220,290,310,310,330,470,510,540,590,680,570,520,580,620,500,310,250,130,80,1890,0.242
BUKIT MERAH,HENDERSON HILL,13320,440,450,490,530,660,860,930,780,780,890,1010,1050,1140,970,890,550,500,280,150,3340,0.2508
BUKIT MERAH,KAMPONG TIONG BAHRU,9010,220,240,340,350,430,530,490,490,540,650,690,720,780,790,700,420,360,170,100,2540,0.2819
BUKIT MERAH,MARITIME SQUARE,3620,200,240,190,170,110,140,180,360,430,400,310,240,190,140,120,70,70,50,40,490,0.1354
BUKIT MERAH,REDHILL,10620,490,640,660,500,470,630,650,750,1080,900,790,730,620,510,440,270,230,120,140,1710,0.161
BUKIT MERAH,SINGAPORE GENERAL HOSPITAL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BUKIT MERAH,TELOK BLANGAH DRIVE,19320,1190,870,740,710,710,1090,2010,1680,1550,1390,1180,1230,1200,1150,1110,660,480,260,120,3780,0.1957
BUKIT MERAH,TELOK BLANGAH RISE,12150,350,390,430,510,580,740,660,680,840,920,850,860,1030,1120,970,580,360,180,100,3310,0.2724
BUKIT MERAH,TELOK BLANGAH WAY,9230,240,340,380,350,380,480,460,540,690,770,680,740,820,710,620,420,310,180,110,2350,0.2546
BUKIT MERAH,TIONG BAHRU,12890,690,670,560,430,440,720,1080,1120,1250,1020,800,730,790,810,690,440,340,170,150,2600,0.2017
